mondo_id,disease_name,has_onset,has_clinical_course,has_gene,has_inheritance,needs_manual_review,notes
MONDO:0975745,neurodevelopmental disorder with characteristic facial and ectodermal features and tetraparesis 1,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975746,"spastic paraplegia 92, autosomal recessive",True,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975747,spermatogenic failure 95,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975748,"Parkinson disease 26, autosomal dominant, susceptibility to",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975749,immunodeficiency 125,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975761,"immunodeficiency 126, susceptibility to",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975795,Kariminejad neurodevelopmental syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975796,"spastic paraplegia 93, autosomal recessive",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975797,"myelofibrosis, congenital, with anemia, neutropenia, developmental delay, and ocular abnormalities",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009133,"cerebellar ataxia, intellectual disability, and dysequilibrium",False,False,True,False,False,normalized from v2 fields; no unsupported inference added
MONDO:0975799,brain malformation renal syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975800,spinocerebellar ataxia 51,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975801,"encephalopathy, acute transient",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975805,foveal hypoplasia 3,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975806,multiple mitochondrial dysfunctions syndrome 10,True,False,False,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975807,"cholestasis, progressive familial intrahepatic, 13",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975808,congenital myopathy 25,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975809,microphthalmia/coloboma 13,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975826,"arthrogryposis multiplex congenita 7, X-linked",False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975827,orofaciodigital syndrome 21,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0009302,XY type gonadal dysgenesis-associated anomalies syndrome,False,False,True,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0975828,"intellectual developmental disorder, X-linked 114",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975829,"anemia, congenital dyserythropoietic, type IVb",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975830,"myopathy with myalgia, increased serum creatine kinase, and with or without episodic rhabdomyolysis 2",False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975832,immunodeficiency 127,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975833,"leukodystrophy, hypomyelinating, 28",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975834,immunodeficiency 128,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975835,bronchiectasis and nasal polyposis,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975836,Karayol-Borroto-Haghshenas neurodevelopmental syndrome,True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975837,"neurodegeneration, infantile-onset, with optic atrophy and brain abnormalities",False,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0975838,"intellectual developmental disorder, autosomal dominant 75",True,False,True,True,False,normalized from v2 fields; no unsupported inference added
MONDO:0015261,pseudopelade of Brocq,False,False,False,False,True,normalized from v2 fields; no unsupported inference added
MONDO:0015779,"45,X/46,XY mixed gonadal dysgenesis",False,False,True,False,True,normalized from v2 fields; no unsupported inference added
